company,type,address,gu,dong,,,,,,,
에스에이명진지퍼,폐수배출업소관리,서울특별시 중구 황학동 1154번지 ,중구,황학동,,,,,,,
대동염색,폐수배출업소관리,서울특별시 중구 주교동 281번지 ,중구,주교동,,,,,,,
그린염색,폐수배출업소관리,서울특별시 중구 광희동1가 53번지 ,중구,광희동1가,,,,,,,
대경,폐수배출업소관리,서울특별시 중구 주교동 272-6번지 ,중구,주교동,,,,,,,
일신염색,폐수배출업소관리,서울특별시 중구 주교동 289번지 ,중구,주교동,,,,,,,
미래염색,폐수배출업소관리,서울특별시 중구 을지로6가 33번지 ,중구,을지로6가,,,,,,,
에스에이명진지퍼,폐수배출업소관리,서울특별시 중구 황학동 1154번지 ,중구,황학동,,,,,,,
미래염색,폐수배출업소관리,서울특별시 중구 을지로6가 33번지 ,중구,을지로6가,,,,,,,
그린염색,폐수배출업소관리,서울특별시 중구 광희동1가 53번지 ,중구,광희동1가,,,,,,,
로얄공방,폐수배출업소관리,서울특별시 중구 충무로1가 25-33번지 ,중구,충무로1가,,,,,,,
남성인쇄사,폐수배출업소관리,서울특별시 중구 신당동 50-18번지 ,중구,신당동,,,,,,,
삼일문화사,폐수배출업소관리,서울특별시 중구 묵정동 24-10번지 ,중구,묵정동,,,,,,,
바다염색,폐수배출업소관리,서울특별시 중구 주교동 40-2번지 3호 ,중구,주교동,,,,,,,
광명무지개,폐수배출업소관리,서울특별시 중구 주교동 102-1번지 ,중구,주교동,,,,,,,
보은상사,폐수배출업소관리,서울특별시 중구 주교동 58-6번지 ,중구,주교동,,,,,,,
일신염색,폐수배출업소관리,서울특별시 중구 주교동 289번지 ,중구,주교동,,,,,,,
현대염색,폐수배출업소관리,서울특별시 중구 주교동 102-1번지 ,중구,주교동,,,,,,,
물들임,폐수배출업소관리,서울특별시 중구 주교동 272-7번지 ,중구,주교동,,,,,,,
광명무지개,폐수배출업소관리,서울특별시 중구 주교동 102-1번지 ,중구,주교동,,,,,,,
바다염색,폐수배출업소관리,서울특별시 중구 주교동 40-2번지 3호 ,중구,주교동,,,,,,,
(주)클레어스코리아,폐수배출업소관리,서울특별시 중구 남대문로5가 537번지 ,중구,남대문로5가,,,,,,,
(학)연세대학교세브란스 체크업의원,폐수배출업소관리,서울특별시 중구 남대문로5가 84-11번지 4층 ,중구,남대문로5가,,,,,,,
차여성의원,폐수배출업소관리,서울특별시 중구 남대문로5가 541번지 ,중구,남대문로5가,,,,,,,
백마염색,폐수배출업소관리,서울특별시 중구 주교동 272-7번지 ,중구,주교동,,,,,,,
일신염색,폐수배출업소관리,서울특별시 중구 주교동 289번지 ,중구,주교동,,,,,,,
보은상사,폐수배출업소관리,서울특별시 중구 주교동 58-6번지 ,중구,주교동,,,,,,,
대경,폐수배출업소관리,서울특별시 중구 주교동 272-6번지 ,중구,주교동,,,,,,,
국일염색,폐수배출업소관리,서울특별시 중구 주교동 273-13번지 ,중구,주교동,,,,,,,
우주사,폐수배출업소관리,서울특별시 중구 주교동 240번지 ,중구,주교동,,,,,,,
대양염색,폐수배출업소관리,서울특별시 중구 주교동 210-3번지 ,중구,주교동,,,,,,,
대동염색,폐수배출업소관리,서울특별시 중구 주교동 281번지 ,중구,주교동,,,,,,,
대한염색,폐수배출업소관리,서울특별시 중구 주교동 239번지 ,중구,주교동,,,,,,,
광일염색,폐수배출업소관리,서울특별시 중구 주교동 240번지 ,중구,주교동,,,,,,,
우주사,폐수배출업소관리,서울특별시 중구 주교동 240번지 ,중구,주교동,,,,,,,
샤인카팩토리,폐수배출업소관리,서울특별시 중구 신당동 375-4번지 ,중구,신당동,,,,,,,
나우앤티,폐수배출업소관리,서울특별시 중구 필동3가 28-10번지 4층 ,중구,필동3가,,,,,,,
도야인쇄,폐수배출업소관리,서울특별시 중구 필동3가 28-31번지 ,중구,필동3가,,,,,,,
세아미디어,폐수배출업소관리,서울특별시 중구 필동2가 119-1번지 ,중구,필동2가,,,,,,,
디텍,폐수배출업소관리,서울특별시 중구 필동2가 78-6번지 유창빌딩 3층 ,중구,필동2가,,,,,,3층,
주식회사굿프린팅,폐수배출업소관리,서울특별시 중구 필동2가 84-12번지 ,중구,필동2가,,,,,,,
(주)선진프린팅,폐수배출업소관리,서울특별시 중구 필동2가 84-34번지 지하1층 ,중구,필동2가,,,,,,,
(주)피랜피프린팅,폐수배출업소관리,서울특별시 중구 필동3가 39-15번지 ,중구,필동3가,,,,,,,
한샘CTP,폐수배출업소관리,서울특별시 중구 초동 17-2번지 ,중구,초동,,,,,,,
우리원 헬스케어 영상의학과의원,폐수배출업소관리,서울특별시 중구 수표동 99번지 시그니쳐 타워 2층 ,중구,수표동,,,,,,타워,2층
우진기획,폐수배출업소관리,서울특별시 중구 주교동 43-9번지 (3층) ,중구,주교동,,,,,,,
미진프로세스,폐수배출업소관리,서울특별시 중구 을지로4가 112번지 (2층) ,중구,을지로4가,,,,,,,
(주)와이투컴,폐수배출업소관리,서울특별시 중구 충무로3가 51-6번지 용봉빌딩3층 ,중구,충무로3가,,,,,,,
효성사,폐수배출업소관리,서울특별시 중구 인현동1가 82-2번지 ,중구,인현동1가,,,,,,,
(주)광일동판사,폐수배출업소관리,서울특별시 중구 인현동1가 73번지 ,중구,인현동1가,,,,,,,
성광사,폐수배출업소관리,서울특별시 중구 을지로3가 349-1번지 ,중구,을지로3가,,,,,,,
세현인쇄,폐수배출업소관리,서울특별시 중구 을지로3가 344-15번지 3층 ,중구,을지로3가,,,,,,,
은광문화사,폐수배출업소관리,서울특별시 중구 을지로3가 320-24번지 23층 ,중구,을지로3가,,,,,,,
정우프린팅,폐수배출업소관리,서울특별시 중구 초동 106-27번지 오양빌딩3층 ,중구,초동,,,,,,,
선우문화사,폐수배출업소관리,서울특별시 중구 을지로3가 291-15번지 ,중구,을지로3가,,,,,,,
좋은마음출력,폐수배출업소관리,서울특별시 중구 을지로3가 291-40번지 1층 ,중구,을지로3가,,,,,,,
한성문화,폐수배출업소관리,서울특별시 중구 을지로4가 315-1번지 외3필지 ,중구,을지로4가,,,,,,,
서진티피에스,폐수배출업소관리,서울특별시 중구 을지로4가 315-1번지 무광빌딩201호 ,중구,을지로4가,,,,,,,
대경,폐수배출업소관리,서울특별시 중구 주교동 272-6번지 ,중구,주교동,,,,,,,
세진염색,폐수배출업소관리,서울특별시 중구 주교동 80-2번지 ,중구,주교동,,,,,,,
우주사,폐수배출업소관리,서울특별시 중구 주교동 240번지 ,중구,주교동,,,,,,,
동일상사,폐수배출업소관리,서울특별시 중구 주교동 274번지 ,중구,주교동,,,,,,,
서울사,폐수배출업소관리,서울특별시 중구 주교동 90-3번지 ,중구,주교동,,,,,,,
동국염색,폐수배출업소관리,서울특별시 중구 주교동 286-3번지 ,중구,주교동,,,,,,,
아주사,폐수배출업소관리,서울특별시 중구 주교동 90-3번지 ,중구,주교동,,,,,,,
서울사,폐수배출업소관리,서울특별시 중구 주교동 90-3번지 ,중구,주교동,,,,,,,
동국염색,폐수배출업소관리,서울특별시 중구 주교동 286-3번지 ,중구,주교동,,,,,,,
백마염색,폐수배출업소관리,서울특별시 중구 주교동 272-7번지 ,중구,주교동,,,,,,,
베스트염색,폐수배출업소관리,서울특별시 중구 주교동 215-3번지 ,중구,주교동,,,,,,,
삼성원색교정,폐수배출업소관리,서울특별시 중구 초동 158-5번지 ,중구,초동,,,,,,,
대륙칼라,폐수배출업소관리,서울특별시 중구 충무로3가 24-17번지 3층 ,중구,충무로3가,,,,,,,
제이모드프린팅,폐수배출업소관리,서울특별시 중구 충무로3가 25-18번지 ,중구,충무로3가,,,,,,,
정광프로세스,폐수배출업소관리,서울특별시 중구 충무로2가 48-4번지 ,중구,충무로2가,,,,,,,
(주)삼진커뮤니케이션즈,폐수배출업소관리,서울특별시 중구 저동2가 84-3번지 ,중구,저동2가,,,,,,,
명신사,폐수배출업소관리,서울특별시 중구 인현동1가 127-9번지 ,중구,인현동1가,,,,,,,
아성출력,폐수배출업소관리,서울특별시 중구 충무로4가 131-15번지 ,중구,충무로4가,,,,,,,
(주)신아칼라,폐수배출업소관리,서울특별시 중구 저동2가 46-4번지 (2층) ,중구,저동2가,,,,,,,
승리원색교정,폐수배출업소관리,서울특별시 중구 저동2가 46-6번지 ,중구,저동2가,,,,,,,
케이투프로,폐수배출업소관리,서울특별시 중구 충무로4가 120-3번지 1층다-2122호 ,중구,충무로4가,,,,,,,
대한문화,폐수배출업소관리,서울특별시 중구 오장동 206-6번지 (2층) ,중구,오장동,,,,,,,
(주)메인아트기획,폐수배출업소관리,서울특별시 중구 충무로5가 19-3번지 ,중구,충무로5가,,,,,,,
안성미디어,폐수배출업소관리,서울특별시 중구 충무로5가 20-28번지 ,중구,충무로5가,,,,,,,
정문씨티피출력,폐수배출업소관리,서울특별시 중구 충무로5가 20-43번지 ,중구,충무로5가,,,,,,,
부영인쇄,폐수배출업소관리,서울특별시 중구 충무로5가 20-5번지 ,중구,충무로5가,,,,,,,
진솔씨티피(주),폐수배출업소관리,서울특별시 중구 필동1가 21-15번지 ,중구,필동1가,,,,,,,
건일제약(주),폐수배출업소관리,서울특별시 중구 정동 27-11번지 지하2층 ,중구,정동,,,,,,,
예지커뮤니케이션,폐수배출업소관리,서울특별시 중구 충무로3가 30-17번지 12층 ,중구,충무로3가,,,,,,,
국일기획(동성에너지),폐수배출업소관리,서울특별시 중구 을지로3가 275-3번지 2층 ,중구,을지로3가,,,,,,,
국일염색,폐수배출업소관리,서울특별시 중구 주교동 273-13번지 ,중구,주교동,,,,,,,
백마염색,폐수배출업소관리,서울특별시 중구 주교동 272-7번지 ,중구,주교동,,,,,,,
아주사,폐수배출업소관리,서울특별시 중구 주교동 90-3번지 ,중구,주교동,,,,,,,
서울사,폐수배출업소관리,서울특별시 중구 주교동 90-3번지 ,중구,주교동,,,,,,,
제일염색,폐수배출업소관리,서울특별시 중구 주교동 90-14번지 ,중구,주교동,,,,,,,
신원염색,폐수배출업소관리,서울특별시 중구 주교동 90-15번지 ,중구,주교동,,,,,,,
대우염색,폐수배출업소관리,서울특별시 중구 주교동 102-1번지 ,중구,주교동,,,,,,,
동일상사,폐수배출업소관리,서울특별시 중구 주교동 274번지 ,중구,주교동,,,,,,,
조민문화사,폐수배출업소관리,서울특별시 중구 오장동 95-5번지 ,중구,오장동,,,,,,,
예원,폐수배출업소관리,서울특별시 중구 오장동 90-6번지 (3층) ,중구,오장동,,,,,,,
애디트,폐수배출업소관리,서울특별시 중구 오장동 90-22번지 국진빌딩2층 ,중구,오장동,,,,,,,
중앙인쇄,폐수배출업소관리,서울특별시 중구 인현동2가 135-44번지 ,중구,인현동2가,,,,,,,
씨티피아세흥,폐수배출업소관리,서울특별시 중구 인현동2가 181-70번지 (2층) ,중구,인현동2가,,,,,,,
엘렉스 프린팅,폐수배출업소관리,서울특별시 중구 인현동2가 183-12번지 (3층) ,중구,인현동2가,,,,,,,
명진원색,폐수배출업소관리,서울특별시 중구 충무로4가 36-43번지 ,중구,충무로4가,,,,,,,
한강CTP,폐수배출업소관리,서울특별시 중구 필동3가 55-2번지 (2층) ,중구,필동3가,,,,,,,
합진그래픽,폐수배출업소관리,서울특별시 중구 필동2가 13-7번지 (403호) ,중구,필동2가,,,,,,,
(주)클레어스코리아,폐수배출업소관리,서울특별시 중구 남대문로5가 537번지 ,중구,남대문로5가,,,,,,,
고려문화사,폐수배출업소관리,서울특별시 중구 충무로2가 52-11번지 (2층) ,중구,충무로2가,,,,,,,
진보사,폐수배출업소관리,서울특별시 중구 남산동3가 13-5번지 (2층) ,중구,남산동3가,,,,,,,
인코,폐수배출업소관리,서울특별시 중구 신당동 52-204번지 ,중구,신당동,,,,,,,
(주)피랜피프린팅,폐수배출업소관리,서울특별시 중구 필동3가 39-15번지 ,중구,필동3가,,,,,,,
디텍,폐수배출업소관리,서울특별시 중구 필동2가 78-6번지 유창빌딩 3층 ,중구,필동2가,,,,,,3층,
우리디앤피,폐수배출업소관리,서울특별시 중구 필동2가 13-7번지 3층 ,중구,필동2가,,,,,,,
(주)선진프린팅,폐수배출업소관리,서울특별시 중구 필동2가 84-34번지 지하1층 ,중구,필동2가,,,,,,,
주간인쇄정보,폐수배출업소관리,서울특별시 중구 충무로4가 148-8번지 기종빌딩별관403호 ,중구,충무로4가,,,,,,,
주식회사굿프린팅,폐수배출업소관리,서울특별시 중구 필동2가 84-12번지 ,중구,필동2가,,,,,,,
대산그래픽,폐수배출업소관리,서울특별시 중구 필동2가 10번지 ,중구,필동2가,,,,,,,
대원문화인쇄,폐수배출업소관리,서울특별시 중구 필동2가 124-1번지 9 ,중구,필동2가,,,,,,,
(주)피알애드컴,폐수배출업소관리,서울특별시 중구 필동2가 84-113번지 (23층) ,중구,필동2가,,,,,,,
지앤비프린팅(주),폐수배출업소관리,서울특별시 중구 필동2가 124-10번지 (2층) ,중구,필동2가,,,,,,,
한백,폐수배출업소관리,서울특별시 중구 흥인동 62-1번지 ,중구,흥인동,,,,,,,
샤인카팩토리,폐수배출업소관리,서울특별시 중구 신당동 375-4번지 ,중구,신당동,,,,,,,
대웅캐스팅,폐수배출업소관리,서울특별시 중구 남대문로5가 255번지 6층 ,중구,남대문로5가,,,,,,,
보배커뮤니케이션,폐수배출업소관리,서울특별시 중구 인현동2가 220-3번지 ,중구,인현동2가,,,,,,,
창영프로세스(주),폐수배출업소관리,서울특별시 중구 인현동1가 109-1번지 ,중구,인현동1가,,,,,,,
을지포토,폐수배출업소관리,서울특별시 중구 을지로2가 1번지 지하상가 91113 ,중구,을지로2가,,,,,,91113,
새봄,폐수배출업소관리,서울특별시 중구 인현동1가 133-19번지 ,중구,인현동1가,,,,,,,
서울그래픽,폐수배출업소관리,서울특별시 중구 인현동1가 132-2번지 ,중구,인현동1가,,,,,,,
삼원인쇄제판,폐수배출업소관리,서울특별시 중구 인현동1가 133-2번지 ,중구,인현동1가,,,,,,,
영일,폐수배출업소관리,서울특별시 중구 충무로3가 58-5번지 2층 ,중구,충무로3가,,,,,,,
승리문화사,폐수배출업소관리,서울특별시 중구 충무로3가 59-2번지 ,중구,충무로3가,,,,,,,
더프로세스,폐수배출업소관리,서울특별시 중구 필동1가 3-6번지 서울빌딩507 ,중구,필동1가,,,,,,,
진영교정,폐수배출업소관리,서울특별시 중구 충무로3가 28-2번지 3층 ,중구,충무로3가,,,,,,,
신우금속,폐수배출업소관리,서울특별시 중구 입정동 81번지 ,중구,입정동,,,,,,,
신한피플,폐수배출업소관리,서울특별시 중구 충무로3가 59-14번지 ,중구,충무로3가,,,,,,,
모두출력센타,폐수배출업소관리,서울특별시 중구 초동 40-5번지 ,중구,초동,,,,,,,
전국인쇄,폐수배출업소관리,서울특별시 중구 초동 42번지 아시아미디어타워지하103호 ,중구,초동,,,,,,,
(주)태산아이,폐수배출업소관리,서울특별시 중구 초동 42번지 아시아미디어타워405호 ,중구,초동,,,,,,,
삼정인쇄공사,폐수배출업소관리,서울특별시 중구 초동 42번지 아시아미디어타워지하1층101호 ,중구,초동,,,,,,,
(주)삼양디앤피,폐수배출업소관리,서울특별시 중구 충무로3가 39-1번지 ,중구,충무로3가,,,,,,,
(주)백제문화,폐수배출업소관리,서울특별시 중구 인현동1가 138-1번지 1층 ,중구,인현동1가,,,,,,,
글로벌프린팅,폐수배출업소관리,서울특별시 중구 초동 64-1번지 ,중구,초동,,,,,,,
유일인쇄사,폐수배출업소관리,서울특별시 중구 충무로3가 24-10번지 ,중구,충무로3가,,,,,,,
(주)보현토탈프린팅,폐수배출업소관리,서울특별시 중구 초동 155-4번지 (안흥빌딩301호) ,중구,초동,,,,,,,
한성문화인쇄사,폐수배출업소관리,서울특별시 중구 초동 156-1번지 ,중구,초동,,,,,,,
광림입출력센터,폐수배출업소관리,서울특별시 중구 초동 155-1번지 ,중구,초동,,,,,,,
한양프린트,폐수배출업소관리,서울특별시 중구 초동 64-1번지 ,중구,초동,,,,,,,
에이드씨티피,폐수배출업소관리,서울특별시 중구 인현동2가 169-1번지 ,중구,인현동2가,,,,,,,
대우문화인쇄,폐수배출업소관리,서울특별시 중구 인현동2가 135-32번지 ,중구,인현동2가,,,,,,,
덕영인쇄,폐수배출업소관리,서울특별시 중구 오장동 206-10번지 ,중구,오장동,,,,,,,
성신프로세스,폐수배출업소관리,서울특별시 중구 오장동 148-33번지 ,중구,오장동,,,,,,,
(주)다인애드피아,폐수배출업소관리,서울특별시 중구 오장동 90-12번지 3층 ,중구,오장동,,,,,,,
성신문화사,폐수배출업소관리,서울특별시 중구 인현동2가 206번지 ,중구,인현동2가,,,,,,,
천일,폐수배출업소관리,서울특별시 중구 인현동2가 181-22번지 ,중구,인현동2가,,,,,,,
원프로세스,폐수배출업소관리,서울특별시 중구 인현동1가 106-1번지 3층 ,중구,인현동1가,,,,,,,
(주)아성종합인쇄,폐수배출업소관리,서울특별시 중구 인현동1가 109-3번지 2층 ,중구,인현동1가,,,,,,,
삼성대일인쇄,폐수배출업소관리,서울특별시 중구 인현동1가 109-6번지 ,중구,인현동1가,,,,,,,
네오그래픽스,폐수배출업소관리,서울특별시 중구 오장동 90-20번지 2층 ,중구,오장동,,,,,,,
배원문화사,폐수배출업소관리,서울특별시 중구 오장동 90-1번지 13 ,중구,오장동,,,,,,,
휴먼컴텍(주),폐수배출업소관리,서울특별시 중구 인현동2가 192-30번지 신성상가 지하3호 ,중구,인현동2가,,,,,,지하3호,
(주)서울인쇄센타,폐수배출업소관리,서울특별시 중구 쌍림동 146-1번지 2층 ,중구,쌍림동,,,,,,,
태강,폐수배출업소관리,서울특별시 중구 저동2가 84-11번지 3층 ,중구,저동2가,,,,,,,
안문화사,폐수배출업소관리,서울특별시 중구 광희동1가 8-1번지 ,중구,광희동1가,,,,,,,
시.디.피,폐수배출업소관리,서울특별시 중구 오장동 206-40번지 ,중구,오장동,,,,,,,
유니아,폐수배출업소관리,서울특별시 중구 인현동2가 135-4번지 2층 ,중구,인현동2가,,,,,,,
대광그래픽스,폐수배출업소관리,서울특별시 중구 초동 21-12번지 ,중구,초동,,,,,,,
탑프린팅,폐수배출업소관리,서울특별시 중구 을지로3가 296-15번지 ,중구,을지로3가,,,,,,,
성광문화인쇄사,폐수배출업소관리,서울특별시 중구 을지로3가 302-1번지 ,중구,을지로3가,,,,,,,
(주)다보아이앤씨,폐수배출업소관리,서울특별시 중구 을지로3가 295-4번지 ,중구,을지로3가,,,,,,,
대동전산,폐수배출업소관리,서울특별시 중구 을지로3가 291-42번지 ,중구,을지로3가,,,,,,,
삼원씨티피,폐수배출업소관리,서울특별시 중구 저동2가 8번지 2층 ,중구,저동2가,,,,,,,
한국인쇄,폐수배출업소관리,서울특별시 중구 을지로3가 322-7번지 ,중구,을지로3가,,,,,,,
오픈프로세스,폐수배출업소관리,서울특별시 중구 을지로3가 334-7번지 한일빌딩2층 ,중구,을지로3가,,,,,,,
동선기업,폐수배출업소관리,서울특별시 중구 산림동 58-1번지 ,중구,산림동,,,,,,,
광일금속,폐수배출업소관리,서울특별시 중구 산림동 31-1번지 ,중구,산림동,,,,,,,
경양사,폐수배출업소관리,서울특별시 중구 산림동 46번지 ,중구,산림동,,,,,,,
삼호명판,폐수배출업소관리,서울특별시 중구 산림동 108-1번지 ,중구,산림동,,,,,,,
태광기업,폐수배출업소관리,서울특별시 중구 산림동 133번지 ,중구,산림동,,,,,,,
신화명판산업,폐수배출업소관리,서울특별시 중구 산림동 42-2번지 ,중구,산림동,,,,,,,
대지문화사,폐수배출업소관리,서울특별시 중구 을지로4가 57-3번지 ,중구,을지로4가,,,,,,,
윤금공예,폐수배출업소관리,서울특별시 중구 주교동 176-8번지 ,중구,주교동,,,,,,,
덕유문화미술사,폐수배출업소관리,서울특별시 중구 예관동 24-5번지 ,중구,예관동,,,,,,,
국일특수인쇄(주),폐수배출업소관리,서울특별시 중구 예관동 70-8번지 4층 ,중구,예관동,,,,,,,
파인애드,폐수배출업소관리,서울특별시 중구 광희동1가 63-9번지 ,중구,광희동1가,,,,,,,
한영인쇄사,폐수배출업소관리,서울특별시 중구 을지로4가 297-1번지 (2층) ,중구,을지로4가,,,,,,,
창조문화인쇄,폐수배출업소관리,서울특별시 중구 인현동1가 70-3번지 ,중구,인현동1가,,,,,,,
굿모닝출력,폐수배출업소관리,서울특별시 중구 인현동1가 68번지 3층 ,중구,인현동1가,,,,,,,
반월인쇄문화,폐수배출업소관리,서울특별시 중구 인현동1가 31-2번지 (1층) ,중구,인현동1가,,,,,,,
선명금속인쇄사,폐수배출업소관리,서울특별시 중구 주교동 315-1번지 ,중구,주교동,,,,,,,
(주)성신피앤디,폐수배출업소관리,서울특별시 중구 오장동 11-2번지 ,중구,오장동,,,,,,,
상록기획인쇄,폐수배출업소관리,서울특별시 중구 방산동 142-1번지 ,중구,방산동,,,,,,,
동명사,폐수배출업소관리,서울특별시 중구 주교동 267번지 ,중구,주교동,,,,,,,
문화소부,폐수배출업소관리,서울특별시 중구 주교동 273-2번지 3층 ,중구,주교동,,,,,,,
아현문화,폐수배출업소관리,서울특별시 중구 주교동 110번지 ,중구,주교동,,,,,,,
태성명판,폐수배출업소관리,서울특별시 중구 주교동 210-4번지 ,중구,주교동,,,,,,,
종합기획,폐수배출업소관리,서울특별시 중구 주교동 222-2번지 ,중구,주교동,,,,,,,
동우부식,폐수배출업소관리,서울특별시 중구 주교동 210-3번지 ,중구,주교동,,,,,,,
드림기획,폐수배출업소관리,서울특별시 중구 을지로4가 109-1번지 ,중구,을지로4가,,,,,,,
대성기업,폐수배출업소관리,서울특별시 중구 주교동 242번지 ,중구,주교동,,,,,,,
혜성산업,폐수배출업소관리,서울특별시 중구 주교동 253번지 ,중구,주교동,,,,,,,
청해문화,폐수배출업소관리,서울특별시 중구 을지로4가 169-2번지 (2층) ,중구,을지로4가,,,,,,,
삼우인쇄사,폐수배출업소관리,서울특별시 중구 을지로3가 267번지 (2층) ,중구,을지로3가,,,,,,,
전진원색,폐수배출업소관리,서울특별시 중구 을지로3가 282-4번지 ,중구,을지로3가,,,,,,,
공익사,폐수배출업소관리,서울특별시 중구 을지로3가 286번지 새마을빌딩2층 ,중구,을지로3가,,,,,,,
에이스종합인쇄,폐수배출업소관리,서울특별시 중구 을지로3가 286번지 ,중구,을지로3가,,,,,,,
명인기획,폐수배출업소관리,서울특별시 중구 초동 10-6번지 (2층) ,중구,초동,,,,,,,
현프린테크,폐수배출업소관리,서울특별시 중구 인현동1가 59-10번지 ,중구,인현동1가,,,,,,,
현프린텍,폐수배출업소관리,서울특별시 중구 인현동1가 100-4번지 조광빌딩 305호 ,중구,인현동1가,,,,,,305호,
(주)칠광사,폐수배출업소관리,서울특별시 중구 오장동 101-18번지 ,중구,오장동,,,,,,,
예닮베스트프린팅,폐수배출업소관리,서울특별시 중구 예관동 70-3번지 401호,중구,예관동,,,,,,,
